key,value
Investitionsförderung , Investition
Investitionsgut,9999
Investitionsgüterindustrie,9999
Investitionsgütermarkt , Markt
Investitionsgütermarkt , Investitionsgut
Investitionshemmnis,9999
Investitionshilfe,9999
Investitionslenkung,9999
Investitionsneigung , Bereitschaft
Investitionsneigung , Investition
Investitionsplanung , Planung
Investitionsplanung , Investition
Investitionspolitik,9999
Investitionsquote,9999
Investitionsrechnung,9999
Investitionssteuerung , Investitionslenkung
Investitionstätigkeit , Investitionsverhalten
Investitionsverhalten,9999
Investitionszulage,9999
Investivlohn , Lohn
Investivlohn , Vermögensbildung
Investor,9999
Inzest,9999
Inzesttabu , Inzest
Inzesttabu , Tabu
Inzidenz,9999
IRA,9999
Irak,9999
Iran,9999
Iraner,9999
Ire,9999
Irisch Republikanische Armee , IRA
Irland,9999
Ironie,9999
ISA , International Sociological Association
ISDN,9999
Islam,9999
Islamfeindlichkeit,9999
islamische Gesellschaft,9999
Islamisierung,9999
Islamismus,9999
islamistische Partei,9999
Islamophobie , Islamfeindlichkeit
Island,9999
Isländer,9999
Isolation , soziale Isolation
Isolationismus,9999
Israel,9999
Israeli,9999
ISSP,9999
IT-Beruf,9999
IT-Branche,9999
Italien,9999
Italiener,9999
italienische Sprache,9999
italienischsprachige Schweiz,9999
Itemanalyse , Analyse
Itemanalyse , Indikator
IWF , IMF
Jahresabschluss,9999
Jahresabschluß , Jahresabschluss
Jahresarbeitszeit,9999
Jahrestag , Gedenktag
Jahreswirtschaftsbericht,9999
Jakobiner,9999
Jamaika,9999
Japan,9999
Japanbild , nationales Stereotyp
Japanbild , Japan
Japaner,9999
Japanologie,9999
"Jaspers, Karl",9999
Jazz,9999
"Jellinek, Georg",9999
Jemen,9999
Jesuit,9999
Jesus-Bewegung , religiöse Bewegung
Job Enlargement,9999
Job Enrichment,9999
Job Rotation,9999
Job Sharing,9999
Jobbörse,9999
Jobcenter,9999
Joint Venture,9999
"Jonas, Hans",9999
Jordanien,9999
Journalismus,9999
Journalist,9999
Journalistenorganisation , Berufsverband
Journalistenorganisation , Journalist
Journalistenverband , Berufsverband
Journalistenverband , Journalist
Journalistik , Kommunikationswissenschaft
journalistischer Beruf,9999
Jude,9999
Judentum,9999
Judenverfolgung,9999
Judikative,9999
Jugend,9999
Jugendamt,9999
Jugendanwalt , Jugend
Jugendanwalt , Rechtsanwalt
Jugendarbeit,9999
Jugendarbeitslosigkeit , Jugendlicher
Jugendarbeitslosigkeit , Arbeitslosigkeit
Jugendarbeitsschutz , Jugendlicher
Jugendarbeitsschutz , Arbeitsschutz
Jugendarbeitsschutzgesetz,9999
Jugendaustausch,9999
Jugendberatung,9999
Jugendbericht,9999
Jugendberufshilfe,9999
Jugendbewegung,9999
Jugendbildung , Jugendarbeit
Jugendbildung , Bildungsarbeit
Jugendbildungsstätte , Bildungseinrichtung
Jugendbildungsstätte , Jugend
Jugenddelinquenz , Delinquenz
Jugenddelinquenz , Jugendlicher
Jugendeinrichtung , soziale Einrichtung
Jugendeinrichtung , Einrichtung
Jugendeinrichtung , Jugend
Jugendfernsehen , Jugendlicher
Jugendfernsehen , Fernsehprogramm
Jugendfilm,9999
Jugendforschung,9999
Jugendfreizeit , Jugendarbeit
Jugendfreizeiteinrichtung , soziale Einrichtung
Jugendfreizeiteinrichtung , Jugendarbeit
Jugendfunk , Jugendlicher
Jugendfunk , Hörfunkprogramm
Jugendfürsorge , Fürsorge
Jugendfürsorge , Jugendhilfe
Jugendgericht,9999
Jugendgerichtshilfe , Jugendgericht
Jugendgerichtshilfe , Gerichtshilfe
Jugendgruppe,9999
Jugendherberge,9999
Jugendhilfe,9999
Jugendhilfeplan,9999
Jugendkriminalität , Kriminalität
Jugendkriminalität , Jugendlicher
Jugendkultur,9999
Jugendkunde , Jugendforschung
Jugendleiter,9999
Jugendlicher,9999
jugendlicher Arbeitnehmer , Arbeitnehmer
jugendlicher Arbeitnehmer , Jugendlicher
Jugendliteratur,9999
Jugendorganisation,9999
Jugendpflege , Jugendarbeit
Jugendpfleger,9999
Jugendplan,9999
Jugendpolitik,9999
Jugendpresse,9999
Jugendprogramm , Jugendlicher
Jugendprogramm , Rundfunkprogramm
Jugendprogramm , Hörfunkprogramm
Jugendprogramm , Fernsehprogramm
Jugendpsychologie,9999
Jugendrecht,9999
Jugendreligion,9999
Jugendschutz,9999
Jugendsendung , Jugendlicher
Jugendsendung , Hörfunkprogramm
Jugendsendung , Fernsehsendung
Jugendsendung , Rundfunksendung
Jugendsexualität , Jugendlicher
Jugendsexualität , Sexualität
Jugendsozialarbeit,9999
Jugendsoziologie,9999
Jugendsport , Jugend
Jugendsport , Sport
Jugendstrafanstalt , Jugend
Jugendstrafanstalt , Justizvollzugsanstalt
Jugendstrafrecht , Jugendlicher
Jugendstrafrecht , Strafrecht
Jugendstraftäter , Jugendlicher
Jugendstraftäter , Straffälliger
Jugendstrafvollzug , Jugendlicher
Jugendstrafvollzug , Strafvollzug
Jugendverband , Jugendorganisation
Jugendvertretung,9999
Jugendweihe,9999
Jugendwohlfahrt , Jugendhilfe
Jugendwohlfahrtsausschuss,9999
Jugendwohlfahrtsausschuß , Jugendwohlfahrtsausschuss
Jugendwohlfahrtsgesetz,9999
Jugendzeitschrift , Jugendpresse
Jugendzentrum , soziale Einrichtung
Jugendzentrum , Jugend
Jugendzentrum , Freizeit
Jugoslawe,9999
Jugoslawien,9999
Jungarbeiter,9999
Jungarbeitnehmer , Arbeitnehmer
Jungarbeitnehmer , Jugendlicher
Jungdemokraten,9999
Junge,9999
junge Generation , Jugend
Junge Liberale,9999
Junge Union,9999
junger Arbeitnehmer , Arbeitnehmer
junger Arbeitnehmer , Jugendlicher
junger Erwachsener,9999
junges Unternehmen , Unternehmensgründung
Jungferninseln , Karibischer Raum
Junglehrer , Lehrer
Jungsozialisten,9999
Jungwähler,9999
Juniorprofessur,9999
Jurastudium , Studium
Jurastudium , Rechtswissenschaft
Jurisprudenz , Rechtswissenschaft
Jurist,9999
Juristenausbildung , Ausbildung
Juristenausbildung , Jurist
Juristin,9999
juristische Person,9999
Just-in-time-Produktion,9999
Justiz,9999
Justizverwaltung,9999
Justizvollzug , Strafvollzug
Justizvollzugsanstalt,9999
"Jünger, Ernst",9999
Kabarett , Kleinkunst
Kabelfernsehen , Kabelkommunikation
Kabelkommunikation,9999
Kabeltext , Videotext
Kabeltext , Textkommunikation
Kabinett , Regierung
Kader,9999
Kaderpolitik,9999
Kalkulation,9999
Kalter Krieg,9999
Kalvinismus , Calvinismus
Kambodscha,9999
Kameralismus , Merkantilismus
Kameralistik , Rechnungswesen
Kameralistik , öffentliche Verwaltung
Kameramann,9999
Kamerun,9999
Kammer,9999
Kampagne,9999
Kampfgruppe , paramilitärischer Verband
Kampfsport,9999
Kampuchea , Kambodscha
Kanada,9999
Kanadier,9999
Kandidat , Kandidatur
Kandidatenaufstellung,9999
Kandidatur,9999
"Kant, Immanuel",9999
Kanton,9999
Kanton Aargau,9999
Kanton Appenzell Ausserrhoden,9999
Kanton Appenzell Innerrhoden,9999
Kanton Basel-Land,9999
Kanton Basel-Stadt,9999
Kanton Bern,9999
Kanton Freiburg,9999
Kanton Genf,9999
Kanton Glarus,9999
Kanton Graubünden,9999
Kanton Jura,9999
Kanton Luzern,9999
Kanton Neuenburg,9999
Kanton Nidwalden,9999
Kanton Obwalden,9999
Kanton Schaffhausen,9999
Kanton Schwyz,9999
Kanton Solothurn,9999
Kanton St. Gallen,9999
Kanton Tessin,9999
Kanton Thurgau,9999
Kanton Uri,9999
Kanton Waadt,9999
Kanton Wallis,9999
Kanton Zug,9999
Kanton Zürich,9999
Kanzlerkandidat , Bundeskanzler
Kanzlerkandidat , Kandidatur
Kap Verde,9999
Kapazität,9999
Kapazitätsauslastung,9999
Kapazitätsbedarf , Bedarf
Kapazitätsbedarf , Kapazitätsplanung
Kapazitätsberechnung,9999
Kapazitätsmessung , Kapazitätsberechnung
kapazitätsorientierte variable Arbeitszeit , KAPOVAZ
Kapazitätsplanung,9999
KAPD,9999
Kapital,9999
Kapitalakkumulation , Akkumulation
Kapitalakkumulation , Kapital
Kapitalanlage,9999
Kapitalausstattung , Kapital
Kapitalbeteiligung,9999
Kapitalbewegung,9999
Kapitalbildung,9999
Kapitalertrag,9999
Kapitalexport,9999
Kapitalfluss , Kapitalbewegung
Kapitalgesellschaft,9999
Kapitalgut , Investitionsgut
Kapitalhilfe,9999
Kapitalintensität,9999
Kapitalinvestition , Investition
Kapitalismus,9999
kapitalistische Gesellschaft , Kapitalismus
kapitalistische Produktion , Produktion
kapitalistische Produktion , Kapitalismus
Kapitalkonzentration,9999
Kapitalmarkt,9999
Kapitalmobilität , Kapitalbewegung
Kapitalproduktivität , Produktivität
Kapitalproduktivität , Kapital
Kapitalproduktivität , Rentabilität
Kapitalstrom , Kapitalbewegung
Kapitaltransfer , Kapitalbewegung
Kapitalverflechtung,9999
Kapitalverkehr,9999
Kapitalverwertung,9999
KAPOVAZ,9999
Kapp-Putsch,9999
Kapverdische Inseln , Kap Verde
Karibischer Raum,9999
Karikatur,9999
Karneval,9999
Karriere,9999
Karrieremotivation , Motivation
Karrieremotivation , Karriere
Karriereplanung,9999
Kartell,9999
Kartellamt,9999
Kartellrecht , Kartell
Kartellrecht , Wirtschaftsrecht
Kartographie,9999
Kasachstan,9999
Kassenarzt,9999
Kassenärztliche Vereinigung,9999
kassenärztliche Versorgung , medizinische Versorgung
kassenärztliche Versorgung , Kassenarzt
Kaste,9999
Kastenstruktur , Kaste
Katalonien,9999
Katamnese,9999
Katar,9999
Katastrophe,9999
Katastrophenschutz,9999
Kategorie,9999
Kathedersozialismus,9999
Katholik,9999
katholische Bevölkerung , Katholik
katholische Kirche,9999
katholische Presse , Kirchenpresse
katholische Soziallehre,9999
katholischer Geistlicher , Priester
katholischer Religionsunterricht , Katholizismus
katholischer Religionsunterricht , Religionsunterricht
Katholizismus,9999
Kauf , Einkauf
Kaufentscheidung , Kaufverhalten
Kaufhaus , Warenhaus
Kaufkraft,9999
Kaufmann,9999
kaufmännische Ausbildung,9999
kaufmännische Berufsschule , Berufsschule
kaufmännische Berufsschule , kaufmännischer Beruf
kaufmännischer Angestellter , Angestellter
kaufmännischer Angestellter , kaufmännischer Beruf
kaufmännischer Beruf,9999
Kaufverhalten,9999
Kaufvertrag,9999
Kaukasusregion,9999
Kausalanalyse,9999
Kausalität,9999
"Kautsky, Karl",9999
"Kelsen, Hans",9999
Kenia,9999
Kennzahl,9999
keramisches Gewerbe,9999
Kernenergie,9999
Kernfamilie , Kleinfamilie
Kernkraftwerk,9999
Kernwaffe,9999
Kettenmigration,9999
Ketzer,9999
"Keynes, John Maynard",9999
Keynesianismus,9999
KI , künstliche Intelligenz
Kibbuz,9999
"Kierkegaard, Soeren",9999
Kind,9999
Kinder- und Jugendhilfe , Jugendhilfe
Kinderarbeit,9999
Kinderbetreuung,9999
Kindererziehung , Kind
Kindererziehung , Erziehung
Kinderfeindlichkeit,9999
Kinderfernsehen , Kind
Kinderfernsehen , Fernsehprogramm
Kinderfilm,9999
Kinderfunk , Kind
Kinderfunk , Hörfunkprogramm
Kindergarten,9999
Kindergartenkind , Kleinkind
Kindergartenkind , Kindergarten
Kindergeld,9999
Kindergärtnerin,9999
Kinderheim , Kind
Kinderheim , Heim
Kinderheim , Erholung
Kinderhilfe , Kind
Kinderhilfe , Jugendhilfe
Kinderhort , Kindertagesstätte
Kinderkanal,9999
Kinderklinik , Kind
Kinderklinik , Spezialklinik
Kinderkriminalität , Kriminalität
Kinderkriminalität , Kind
Kinderkrippe , Kindertagesstätte
Kinderladen,9999
Kinderliteratur,9999
Kinderlosigkeit,9999
Kinderlähmung,9999
Kinderpflege,9999
Kinderprogramm , Kind
Kinderprogramm , Rundfunkprogramm
Kinderprogramm , Hörfunkprogramm
Kinderprogramm , Fernsehprogramm
Kinderpsychiatrie , Kind
Kinderpsychiatrie , Psychiatrie
Kinderpsychologie , Kind
Kinderpsychologie , Entwicklungspsychologie
Kinderrechte,9999
kinderreiche Familie , Familiengröße
kinderreiche Familie , Kinderzahl
Kinderschutz,9999
Kindersendung , Kind
Kindersendung , Hörfunkprogramm
Kindersendung , Fernsehsendung
Kindersendung , Rundfunksendung
Kinderspielplatz , Spielplatz
Kindersprache , Kind
Kindersprache , Sprache
Kindersterblichkeit , Kind
Kindersterblichkeit , Sterblichkeit
Kindertagesstätte,9999
Kinderwunsch,9999
Kinderzahl,9999
Kindesmissbrauch , Kind
Kindesmissbrauch , sexueller Missbrauch
Kindesmisshandlung , Kind
Kindesmisshandlung , Misshandlung
Kindesrecht , Familienrecht
Kindeswohl,9999
Kindheit,9999
kindliche Wahrnehmung , Kind
kindliche Wahrnehmung , Wahrnehmung
Kindschaftsrecht , Familienrecht
Kino,9999
Kirche,9999
Kirche-Staat , Staat-Kirche
Kirchenamt,9999
Kirchenasyl , politisches Asyl
Kirchenasyl , Kirche
Kirchenaustritt,9999
Kirchenbesuch,9999
Kirchenfunk , Kirche
Kirchenfunk , Rundfunkprogramm
Kirchengemeinde,9999
Kirchengeschichte,9999
Kirchenlehre,9999
Kirchenmitgliedschaft , Kirche
Kirchenmitgliedschaft , Religionszugehörigkeit
Kirchenorganisation , Kirche
Kirchenorganisation , kirchliche Organisation
Kirchenorganisation , Organisationsstruktur
Kirchenpolitik,9999
Kirchenpresse,9999
Kirchenrecht,9999
Kirchenreform , Reform
Kirchenreform , Kirche
Kirchenzeitung , Kirchenpresse
"Kirchheimer, Otto",9999
kirchliche Bildungsarbeit , Bildungsarbeit
kirchliche Bildungsarbeit , Kirche
kirchliche Entwicklungshilfe , Entwicklungshilfe
kirchliche Entwicklungshilfe , Kirche
kirchliche Gemeindearbeit , Gemeindearbeit
kirchliche Jugendarbeit , Jugendarbeit
kirchliche Jugendarbeit , Kirche
kirchliche Medienpolitik , Kirche
kirchliche Medienpolitik , Medienpolitik
kirchliche Organisation,9999
kirchliche Publizistik , Kirche
kirchliche Publizistik , Kirchenpresse
kirchliche Publizistik , Publizistik
kirchliche Sozialarbeit,9999
Kirgisistan,9999
Kiribati , Mikronesien
Kitsch,9999
Klasse , soziale Klasse
Klasse , Schulklasse
Klassenantagonismus,9999
Klassenbegriff , soziale Klasse
Klassenbegriff , Begriff
Klassenbewusstsein,9999
Klassenbewußtsein , Klassenbewusstsein
Klassengegensatz , Klassenantagonismus
Klassengesellschaft,9999
Klassenherrschaft,9999
Klassenjustiz,9999
Klassenkampf,9999
Klassenklima,9999
Klassenkonflikt , Klassenantagonismus
Klassenlage,9999
Klassenlehrer , Lehrer
Klassentheorie , soziale Klasse
Klassentheorie , Theorie
Klassifikation,9999
klassische Nationalökonomie,9999
Klassizismus,9999
Kleidung,9999
Klein- und Mittelbetrieb , Mittelbetrieb
Klein- und Mittelbetrieb , Kleinbetrieb
Kleinbauer , Landwirt
Kleinbauer , Kleinbetrieb
Kleinbetrieb,9999
Kleinbürgertum,9999
Kleine Antillen , Karibischer Raum
kleines Unternehmen , Kleinbetrieb
Kleinfamilie,9999
Kleingarten,9999
Kleingewerbe,9999
Kleingruppe,9999
Kleingruppenarbeit , Kleingruppe
Kleingruppenarbeit , Gruppenarbeit
Kleingruppenforschung,9999
Kleingruppenunterricht , Kleingruppe
Kleingruppenunterricht , Gruppenunterricht
Kleinindustrie , Kleinbetrieb
Kleinindustrie , Industrie
Kleinkind,9999
Kleinkindpädagogik , Erziehung
Kleinkindpädagogik , Kleinkind
Kleinkindpädagogik , Pädagogik
Kleinkunst,9999
Kleinlandbesitz , Grundbesitz
Kleinlandwirtschaft , Landwirtschaft
Kleinlandwirtschaft , Kleinbetrieb
Kleinstaat,9999
Kleinstadt,9999
Kleinunternehmen , Kleinbetrieb
Kleinwaffe,9999
Klerikalismus,9999
Klerus,9999
Klient,9999
Klientelismus,9999
Klima,9999
Klimakterium,9999
Klimapolitik,9999
Klimaschutz,9999
Klimawandel,9999
Klimazone , Klima
Klinik , Krankenhaus
klinische Psychologie,9999
klinische Versorgung , medizinische Versorgung
klinische Versorgung , Krankenhaus
Klischee , Stereotyp
Kloster,9999
KMK,9999
KMU , Mittelbetrieb
KMU , Kleinbetrieb
Knappheit,9999
Knappschaft,9999
Knappschaftliche Krankenversicherung , Krankenversicherung
Knappschaftliche Krankenversicherung , Knappschaft
Knochenkrankheit,9999
Know-How,9999
Knowledge Gap , Wissenskluft
Koalition,9999
Koalitionsbildung,9999
Koalitionsfreiheit,9999
Koalitionspolitik,9999
Koedukation,9999
Koexistenz,9999
Kognition,9999
Kognitionstheorie , psychologische Theorie
Kognitionstheorie , Kognition
kognitive Dissonanz,9999
kognitive Entwicklung,9999
kognitive Faktoren,9999
kognitive Fähigkeit,9999
kognitive Leistung , Leistung
kognitive Leistung , Kognition
kognitive Lerntheorie,9999
kognitive Orientierung , Kognition
kognitive Orientierung , Orientierung
kognitive Struktur,9999
kognitives Lernen , Kognition
kognitives Lernen , Lernen
kognitives Verhalten , Kognition
"Kohl, Helmut",9999
"Kohlberg, Lawrence",9999
Kohle,9999
Kohlebergbau , Bergbau
Kohlebergbau , Kohle
Kohortenanalyse,9999
Kohärenz,9999
Kohäsion , Gruppenkohäsion
Kollaboration,9999
Kolleg,9999
Kollegstufe,9999
Kollektiv,9999
Kollektivbewusstsein,9999
Kollektivbewußtsein , Kollektivbewusstsein
kollektive Biographie,9999
kollektive Identität,9999
kollektive Sicherheit,9999
Kollektiventscheidung,9999
Kollektiverziehung,9999
kollektives Gedächtnis,9999
kollektives Handeln , Kollektivverhalten
kollektives Verhalten , Kollektivverhalten
kollektives Wissen,9999
Kollektivgut , öffentliches Gut
Kollektivismus,9999
Kollektivpraxis , Gemeinschaftspraxis
Kollektivrecht,9999
Kollektivverhalten,9999
Kollektivverhandlung,9999
Kollektivvertrag , Tarifvertrag
Kolonialismus,9999
Kolonialmacht , Kolonialismus
Kolonialmacht , politische Macht
Kolonialpolitik,9999
Kolonialverwaltung , Verwaltung
Kolonialverwaltung , Kolonie
Kolonialzeit , Kolonialismus
Kolonie,9999
Kolonisation,9999
Kolumbien,9999
Kolumne,9999
Kombilohn,9999
Kombinat,9999
Komik , Humor
Kominform,9999
Komintern,9999
Kommanditgesellschaft,9999
Kommentar,9999
Kommerzialisierung,9999
Kommission,9999
Kommunalabgaben,9999
Kommunalbetrieb , öffentliches Unternehmen
kommunale Elite , lokale Elite
kommunale Infrastruktur , Gemeinde
kommunale Infrastruktur , Infrastruktur
kommunale Neugliederung , Gebietsreform
kommunale Neugliederung , Gemeinde
kommunale Selbstverwaltung,9999
kommunale Sozialpolitik , Sozialpolitik
kommunale Sozialpolitik , Kommunalpolitik
kommunale Sozialverwaltung , Sozialverwaltung
kommunale Sozialverwaltung , Gemeinde
Kommunalentwicklung , Entwicklung
Kommunalentwicklung , Dorfentwicklung
Kommunalentwicklung , Stadtentwicklung
Kommunalentwicklung , Gemeinde
Kommunalhaushalt , Gemeindehaushalt
Kommunalparlament , Gemeindeparlament
Kommunalplanung,9999
Kommunalpolitik,9999
Kommunalpolitiker , Kommunalpolitik
Kommunalpolitiker , Politiker
Kommunalrecht,9999
Kommunalverfassung , Gemeindeverfassung
Kommunalverwaltung,9999
Kommunalwahl,9999
Kommune , Gemeinde
Kommune , Wohngemeinschaft
Kommunikation,9999
Kommunikationsbarriere,9999
Kommunikationsbedingung,9999
Kommunikationsethik , Kommunikation
Kommunikationsethik , Ethik
Kommunikationsfluss , Informationsfluss
Kommunikationsforschung,9999
Kommunikationsfähigkeit,9999
Kommunikationsgeschichte , Mediengeschichte
Kommunikationsindustrie , Medienwirtschaft
Kommunikationsmedien,9999
Kommunikationsmittel,9999
Kommunikationspolitik,9999
Kommunikationspsychologie,9999
Kommunikationsraum,9999
Kommunikationssituation , Kommunikation
Kommunikationssituation , Situation
Kommunikationssoziologie,9999
Kommunikationsstruktur , Struktur
Kommunikationsstruktur , Kommunikation
Kommunikationsstörung,9999
Kommunikationssystem,9999
Kommunikationstechnologie,9999
Kommunikationstheorie,9999
Kommunikationsverhalten,9999
Kommunikationswissenschaft,9999
Kommunikationswissenschaftler,9999
Kommunikationsökologie , Medienökologie
kommunikative Kompetenz,9999
kommunikatives Handeln,9999
kommunikatives Verhalten , Kommunikationsverhalten
Kommunikator,9999
Kommunikatorforschung,9999
Kommunismus,9999
Kommunistische Arbeiterpartei Deutschlands , KAPD
kommunistische Gewerkschaft,9999
Kommunistische Internationale , Komintern
kommunistische Partei,9999
Kommunistische Partei Deutschlands , KPD
Kommunistische Partei Deutschlands-Opposition , KPO
Kommunistische Partei Österreichs , KPÖ
Kommunistisches Manifest,9999
Kommunitarismus,9999
Komorbidität,9999
Komoren , Indischer Ozean
Komparatistik , vergleichende Forschung
komparative Kosten,9999
Kompensation,9999
Kompensationsgeschäft,9999
kompensatorische Erziehung,9999
Kompetenz,9999
Kompetenzbewertung , Kompetenz
Kompetenzbewertung , Bewertung
Kompetenzverteilung,9999
Komplexität,9999
Komplexitätsreduktion , Komplexität
Komponist,9999
Kompromiss,9999
Kompromiß , Kompromiss
Konditionierung,9999
Konferenz,9999
Konfession , Religionszugehörigkeit
Konfessionsschule , Bekenntnisschule
Konfigurationsfrequenzanalyse,9999
Konflikt,9999
Konfliktbereitschaft,9999
Konfliktbewusstsein,9999
Konfliktbewußtsein , Konfliktbewusstsein
Konfliktbewältigung,9999
Konfliktforschung,9999
Konfliktfähigkeit,9999
Konfliktlösung,9999
Konfliktlösungsstrategie , Strategie
Konfliktlösungsstrategie , Konfliktlösung
Konfliktmanagement , Konfliktregelung
Konfliktpotential,9999
Konfliktregelung,9999
Konfliktsituation,9999
Konfliktstrategie,9999
Konfliktstruktur,9999
Konflikttheorie,9999
Konfliktverhalten,9999
konformes Verhalten , Konformität
Konformismus,9999
Konformität,9999
Konfrontationspolitik,9999
Konfuzianismus,9999
Konföderation , Staatenbund
Kongo,9999
Kongo-Brazzaville , Kongo
Kongo-Kinshasa , Demokratische Republik Kongo
Kongruenztheorie,9999
Konjunktur,9999
Konjunkturaufschwung,9999
Konjunkturforschung,9999
Konjunkturindikator , Konjunktur
Konjunkturindikator , Indikator
Konjunkturpolitik,9999
Konjunkturprognose , Prognose
Konjunkturprognose , Konjunktur
Konjunktursteuerung , Steuerung
Konjunktursteuerung , Konjunktur
Konjunkturtheorie,9999
Konjunkturverlauf , Konjunkturzyklus
Konjunkturzyklus,9999
Konkordanzdemokratie,9999
Konkordat,9999
Konkurrenz , Wettbewerb
Konkurrenzfähigkeit , Wettbewerbsfähigkeit
Konkurs,9999
Konrad-Adenauer-Stiftung,9999
Konsens,9999
Konsensusnorm , soziale Norm
Konsensusnorm , Konsens
Konservatismus,9999
konservative Partei,9999
Konservativismus , Konservatismus
Konsistenz,9999
Konsistenztheorie,9999
Konsolidierung,9999
Konstitutionalismus,9999
konstitutionelle Monarchie,9999
Konstrukt,9999
Konstruktion,9999
Konstruktion der Wirklichkeit , soziale Konstruktion
Konstruktivismus,9999
Konstruktvalidität , Konstrukt
Konstruktvalidität , Validität
Konsultation , Beratung
Konsum,9999
Konsument , Verbraucher
Konsumentenschutz , Verbraucherschutz
Konsumentenverhalten , Konsumverhalten
Konsumerziehung , Verbrauchererziehung
Konsumforschung,9999
Konsumfunktion,9999
Konsumgenossenschaft , Genossenschaft
Konsumgenossenschaft , Konsum
Konsumgesellschaft,9999
Konsumgut,9999
Konsumgüterindustrie,9999
Konsumquote , Konsum
Konsumquote , Quote
Konsumtheorie,9999
Konsumverhalten,9999
Kontakt,9999
Kontaktstudium,9999
Kontaktverhalten , Verhalten
Kontaktverhalten , Kontakt
Kontamination , Umweltverschmutzung
Konterrevolution,9999
Kontextanalyse,9999
Kontingenz,9999
Kontingenztheorie,9999
Kontinuität,9999
Kontrakttheorie,9999
Kontrolle,9999
Kontrollsystem,9999
Kontrolltheorie,9999
Kontrollüberzeugung , locus of control
Konvention,9999
Konventionalismus,9999
konventionelle Waffe,9999
Konvergenz,9999
Konvergenztheorie,9999
Konversationsanalyse , Gesprächsanalyse
Konversion,9999
Konvertibilität,9999
Konzentration,9999
Konzentrationskontrolle , Kontrolle
Konzentrationskontrolle , Unternehmenskonzentration
Konzentrationskontrolle , Pressekonzentration
Konzentrationskontrolle , Medienkonzentration
Konzentrationslager,9999
Konzentrationstheorie,9999
Konzept , Begriff
Konzept , Konzeption
Konzeption,9999
Konzern,9999
Konzert,9999
konzertierte Aktion,9999
Konzession,9999
Konzil,9999
Kooperation,9999
Kooperationsbereitschaft,9999
Kooperationsform,9999
kooperative Gesamtschule , Gesamtschule
kooperatives Lernen,9999
kooperatives Verhalten , Verhalten
kooperatives Verhalten , Kooperation
Koordination,9999
Kopfarbeit , geistige Arbeit
Kopfpauschale , Gesundheitsprämie
Koproduktion , Produktion
Koproduktion , Kooperation
Koran,9999
Korea , Nordkorea
Korea , Südkorea
Koreakrieg,9999
Korporatismus,9999
korporativer Akteur,9999
Korrelation,9999
Korrespondenzanalyse,9999
Korruption,9999
Korruptionsbekämpfung , Verbrechensbekämpfung
Korruptionsbekämpfung , Korruption
Kosmetik,9999
Kosmopolitismus,9999
Kosovo,9999
Kosten,9999
Kosten-Nutzen-Analyse,9999
Kostenberechnung , Kalkulation
Kostenbeteiligung,9999
Kostendeckung,9999
Kostendämpfung,9999
Kostendämpfungsgesetz,9999
Kostenentwicklung,9999
Kostenfaktor,9999
Kostenmiete,9999
Kostenminimierung , Kosten
Kostenminimierung , Minimierung
Kostenplanung,9999
Kostenrechnung,9999
Kostensenkung,9999
Kostenstruktur,9999
Kostentheorie,9999
Kostenvergleich,9999
KPD,9999
KPdSU , UdSSR
KPdSU , kommunistische Partei
KPF , Frankreich
KPF , kommunistische Partei
KPO,9999
KPÖ,9999
"Kracauer, Siegfried",9999
Kraftfahrer,9999
Kraftfahrzeug,9999
Kraftfahrzeugindustrie,9999
Kraftwerk,9999
Krankenbehandlung , Therapie
Krankenfürsorge,9999
Krankengeld,9999
Krankengeschichte , Krankheitsverlauf
Krankengymnast,9999
Krankenhaus,9999
Krankenhausfinanzierungsgesetz , Gesetz
Krankenhausfinanzierungsgesetz , Krankenhaus
Krankenhausfinanzierungsgesetz , Finanzierung
Krankenhausorganisation , Organisation
Krankenhausorganisation , Krankenhaus
Krankenhauspersonal , Krankenhaus
Krankenhauspersonal , Personal
Krankenhausplanung , Planung
Krankenhausplanung , Krankenhaus
Krankenhausreform , Reform
Krankenhausreform , Krankenhaus
Krankenhausverwaltung , Verwaltung
Krankenhausverwaltung , Krankenhaus
Krankenhauswesen , Krankenhaus
Krankenhauswesen , Gesundheitswesen
Krankenkasse,9999
Krankenpflege,9999
Krankenpfleger,9999
Krankenschwester,9999
Krankenstand,9999
Krankenversicherung,9999
Krankenversicherungskostendämpfungsgesetz , Kostendämpfungsgesetz
Krankenversorgung , medizinische Versorgung
Kranker , Krankheit
Kranker , Patient
Krankheit,9999
Krankheitsbegriff , Krankheit
Krankheitsbegriff , Begriff
Krankheitsbekämpfung , Krankheit
Krankheitsbekämpfung , Therapie
Krankheitsbewältigung , Krankheit
Krankheitsbewältigung , Coping-Verhalten
Krankheitserleben , Krankheit
Krankheitserleben , Erleben
Krankheitsgeschichte , Anamnese
Krankheitsverhalten , Verhalten
Krankheitsverhalten , Krankheit
Krankheitsverlauf,9999
Kreativität,9999
Kreativitätsentwicklung , Entwicklung
Kreativitätsentwicklung , Kreativität
Kreativitätsentwicklung , Persönlichkeit
Kreativwirtschaft , Kulturwirtschaft
Krebs,9999
Krebsvorsorge , Gesundheitsvorsorge
Krebsvorsorge , Krebs
Kredit,9999
Kreditgenossenschaft , Genossenschaft
Kreditgenossenschaft , Kreditwesen
Kreditinstitut,9999
Kreditmarkt,9999
Kreditpolitik,9999
